program_id,institution_id,program_name,field_of_study,study_level,duration_months,tuition_amount,tuition_currency,original_tuition_amount,original_currency,min_cgpa,min_ielts,min_gre,data_source,verified_by,last_verified_at
PROG_1,UNI_USA_MIT,Masters in Computer Science,Computer Science,Masters,24,45000.0,USD,45000.0,USD,3.0,6.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_2,UNI_USA_MIT,Bachelors in Business Administration,Business Administration,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_3,UNI_USA_MIT,PhD in General Engineering,General Engineering,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_4,UNI_USA_STANFORD,Masters in Business Administration,Business Administration,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_5,UNI_USA_STANFORD,Bachelors in General Engineering,General Engineering,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_6,UNI_USA_STANFORD,PhD in Medicine,Medicine,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_7,UNI_USA_HARVARD,Masters in General Engineering,General Engineering,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_8,UNI_USA_HARVARD,Bachelors in Medicine,Medicine,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_9,UNI_USA_HARVARD,PhD in Design,Design,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_10,UNI_USA_UCB,Masters in Medicine,Medicine,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_11,UNI_USA_UCB,Bachelors in Design,Design,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_12,UNI_USA_UCB,PhD in Law,Law,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_13,UNI_USA_UTEXAS,Masters in Design,Design,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_14,UNI_USA_UTEXAS,Bachelors in Law,Law,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_15,UNI_USA_UTEXAS,PhD in Psychology,Psychology,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_16,UNI_USA_NYU,Masters in Law,Law,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_17,UNI_USA_NYU,Bachelors in Psychology,Psychology,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_18,UNI_USA_NYU,PhD in History,History,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_19,UNI_USA_MICHIGAN,Masters in Psychology,Psychology,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_20,UNI_USA_MICHIGAN,Bachelors in History,History,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_21,UNI_USA_MICHIGAN,PhD in Computer Science,Computer Science,PhD,24,47000,USD,47000,USD,3.4,7.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_22,UNI_USA_GEORGIA,Masters in History,History,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_23,UNI_USA_GEORGIA,Bachelors in Computer Science,Computer Science,Bachelors,24,46000,USD,46000,USD,3.2,6.5,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_24,UNI_USA_GEORGIA,PhD in Business Administration,Business Administration,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_25,UNI_USA_ASU,Masters in Computer Science,Computer Science,Masters,24,45000,USD,45000,USD,3.0,6.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_26,UNI_USA_ASU,Bachelors in Business Administration,Business Administration,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_27,UNI_USA_ASU,PhD in General Engineering,General Engineering,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_28,UNI_USA_SJSU,Masters in Business Administration,Business Administration,Masters,24,45000,USD,45000,USD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_29,UNI_USA_SJSU,Bachelors in General Engineering,General Engineering,Bachelors,24,46000,USD,46000,USD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_30,UNI_USA_SJSU,PhD in Medicine,Medicine,PhD,24,47000,USD,47000,USD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_31,UNI_CAN_TORONTO,Masters in General Engineering,General Engineering,Masters,24,35000,CAD,35000,CAD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_32,UNI_CAN_TORONTO,Bachelors in Medicine,Medicine,Bachelors,24,36000,CAD,36000,CAD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_33,UNI_CAN_TORONTO,PhD in Design,Design,PhD,24,37000,CAD,37000,CAD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_34,UNI_CAN_UBC,Masters in Medicine,Medicine,Masters,24,35000,CAD,35000,CAD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_35,UNI_CAN_UBC,Bachelors in Design,Design,Bachelors,24,36000,CAD,36000,CAD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_36,UNI_CAN_UBC,PhD in Law,Law,PhD,24,37000,CAD,37000,CAD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_37,UNI_CAN_MCGILL,Masters in Design,Design,Masters,24,35000,CAD,35000,CAD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_38,UNI_CAN_MCGILL,Bachelors in Law,Law,Bachelors,24,36000,CAD,36000,CAD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_39,UNI_CAN_MCGILL,PhD in Psychology,Psychology,PhD,24,37000,CAD,37000,CAD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_40,UNI_CAN_WATERLOO,Masters in Law,Law,Masters,24,35000,CAD,35000,CAD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_41,UNI_CAN_WATERLOO,Bachelors in Psychology,Psychology,Bachelors,24,36000,CAD,36000,CAD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_42,UNI_CAN_WATERLOO,PhD in History,History,PhD,24,37000,CAD,37000,CAD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_43,UNI_CAN_ALBERTA,Masters in Psychology,Psychology,Masters,24,35000,CAD,35000,CAD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_44,UNI_CAN_ALBERTA,Bachelors in History,History,Bachelors,24,36000,CAD,36000,CAD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_45,UNI_CAN_ALBERTA,PhD in Computer Science,Computer Science,PhD,24,37000,CAD,37000,CAD,3.4,7.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_46,UNI_GBR_OXFORD,Masters in History,History,Masters,24,25000,GBP,25000,GBP,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_47,UNI_GBR_OXFORD,Bachelors in Computer Science,Computer Science,Bachelors,24,26000,GBP,26000,GBP,3.2,6.5,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_48,UNI_GBR_OXFORD,PhD in Business Administration,Business Administration,PhD,24,27000,GBP,27000,GBP,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_49,UNI_GBR_CAMBRIDGE,Masters in Computer Science,Computer Science,Masters,24,25000,GBP,25000,GBP,3.0,6.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_50,UNI_GBR_CAMBRIDGE,Bachelors in Business Administration,Business Administration,Bachelors,24,26000,GBP,26000,GBP,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_51,UNI_GBR_CAMBRIDGE,PhD in General Engineering,General Engineering,PhD,24,27000,GBP,27000,GBP,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_52,UNI_GBR_ICL,Masters in Business Administration,Business Administration,Masters,24,25000,GBP,25000,GBP,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_53,UNI_GBR_ICL,Bachelors in General Engineering,General Engineering,Bachelors,24,26000,GBP,26000,GBP,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_54,UNI_GBR_ICL,PhD in Medicine,Medicine,PhD,24,27000,GBP,27000,GBP,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_55,UNI_GBR_EDINBURGH,Masters in General Engineering,General Engineering,Masters,24,25000,GBP,25000,GBP,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_56,UNI_GBR_EDINBURGH,Bachelors in Medicine,Medicine,Bachelors,24,26000,GBP,26000,GBP,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_57,UNI_GBR_EDINBURGH,PhD in Design,Design,PhD,24,27000,GBP,27000,GBP,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_58,UNI_GBR_MANCHESTER,Masters in Medicine,Medicine,Masters,24,25000,GBP,25000,GBP,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_59,UNI_GBR_MANCHESTER,Bachelors in Design,Design,Bachelors,24,26000,GBP,26000,GBP,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_60,UNI_GBR_MANCHESTER,PhD in Law,Law,PhD,24,27000,GBP,27000,GBP,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_61,UNI_DEU_TUM,Masters in Design,Design,Masters,24,1500,EUR,1500,EUR,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_62,UNI_DEU_TUM,Bachelors in Law,Law,Bachelors,24,2500,EUR,2500,EUR,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_63,UNI_DEU_TUM,PhD in Psychology,Psychology,PhD,24,3500,EUR,3500,EUR,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_64,UNI_DEU_LMU,Masters in Law,Law,Masters,24,1500,EUR,1500,EUR,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_65,UNI_DEU_LMU,Bachelors in Psychology,Psychology,Bachelors,24,2500,EUR,2500,EUR,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_66,UNI_DEU_LMU,PhD in History,History,PhD,24,3500,EUR,3500,EUR,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_67,UNI_DEU_HEIDELBERG,Masters in Psychology,Psychology,Masters,24,1500,EUR,1500,EUR,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_68,UNI_DEU_HEIDELBERG,Bachelors in History,History,Bachelors,24,2500,EUR,2500,EUR,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_69,UNI_DEU_HEIDELBERG,PhD in Computer Science,Computer Science,PhD,24,3500,EUR,3500,EUR,3.4,7.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_70,UNI_DEU_RWTH,Masters in History,History,Masters,24,1500,EUR,1500,EUR,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_71,UNI_DEU_RWTH,Bachelors in Computer Science,Computer Science,Bachelors,24,2500,EUR,2500,EUR,3.2,6.5,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_72,UNI_DEU_RWTH,PhD in Business Administration,Business Administration,PhD,24,3500,EUR,3500,EUR,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_73,UNI_FRA_SORBONNE,Masters in Computer Science,Computer Science,Masters,24,4000,EUR,4000,EUR,3.0,6.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_74,UNI_FRA_SORBONNE,Bachelors in Business Administration,Business Administration,Bachelors,24,5000,EUR,5000,EUR,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
